form,tags
84.ºs,"['masculine', 'plural']"
85.ª,['feminine']
85.ªs,"['feminine', 'plural']"
85.º,
85.ºs,"['masculine', 'plural']"
86.ª,['feminine']
86.ªs,"['feminine', 'plural']"
86.º,
86.ºs,"['masculine', 'plural']"
87.ª,['feminine']
87.ªs,"['feminine', 'plural']"
87.º,
87.ºs,"['masculine', 'plural']"
88.ª,['feminine']
88.ªs,"['feminine', 'plural']"
88.º,
88.ºs,"['masculine', 'plural']"
89.ª,['feminine']
89.ªs,"['feminine', 'plural']"
89.º,
89.ºs,"['masculine', 'plural']"
9.ª,['feminine']
9.ªs,"['feminine', 'plural']"
9.º,
9.ºs,"['masculine', 'plural']"
90.ª,['feminine']
90.ªs,"['feminine', 'plural']"
90.º,
90.ºs,"['masculine', 'plural']"
91.ª,['feminine']
91.ªs,"['feminine', 'plural']"
91.º,
91.ºs,"['masculine', 'plural']"
92.ª,['feminine']
92.ªs,"['feminine', 'plural']"
92.º,
92.ºs,"['masculine', 'plural']"
93.ª,['feminine']
93.ªs,"['feminine', 'plural']"
93.º,
93.ºs,"['masculine', 'plural']"
94.ª,['feminine']
94.ªs,"['feminine', 'plural']"
94.º,
94.ºs,"['masculine', 'plural']"
95.ª,['feminine']
95.ªs,"['feminine', 'plural']"
95.º,
95.ºs,"['masculine', 'plural']"
96.ª,['feminine']
96.ªs,"['feminine', 'plural']"
96.º,
96.ºs,"['masculine', 'plural']"
97.ª,['feminine']
97.ªs,"['feminine', 'plural']"
97.º,
97.ºs,"['masculine', 'plural']"
98.ª,['feminine']
98.º,
98.ºs,"['masculine', 'plural']"
99.ª,['feminine']
99.ªs,"['feminine', 'plural']"
99.º,
99.ºs,"['masculine', 'plural']"
A. R. A.,['alternative']
A. R. C.,['alternative']
A.R.A.,['alternative']
A.R.C.,['alternative']
ARA,
ARC,
Aguañoso,['alternative']
Basco,['alternative']
Esguiçaro,['alternative']
Excma,['feminine']
Excmas,"['feminine', 'plural']"
Excmo,
Excmos,"['masculine', 'plural']"
I,
II,['alternative']
K,
LGBT,
LGBTI,
LGTB,
LGTBI,
Mapuche,['alternative']
San,['alternative']
Sang ley,['alternative']
Sang-lay,['alternative']
Sanglay,['alternative']
Sangley,
Sangleya,['feminine']
Sangleyas,"['feminine', 'plural']"
Sangleyes,"['masculine', 'plural']"
Santa,
Señor,['alternative']
VIH negativa,['feminine']
VIH negativas,"['feminine', 'plural']"
VIH negativo,
VIH negativos,"['masculine', 'plural']"
VIH positiva,['feminine']
VIH positivas,"['feminine', 'plural']"
VIH positivo,
VIH positivos,"['masculine', 'plural']"
Vaticana,['feminine']
Vaticanas,"['feminine', 'plural']"
Vaticano,
Vaticanos,"['masculine', 'plural']"
a bulto,
a cargo,
a cobro revertido,
a contrapelo,
a corazón abierto,
a disgusto,
a disposición,
a favor,
a juego,
a la expectativa,
a la greña,
a la medida,
a la moda,
a la pata la llana,
a la plancha,
a la vieja usanza,
a la vuelta de la esquina,
a lo natural,
a machamartillo,
a mano,
a medida,
a medio hacer,
a medio plazo,
a plazo fijo,
a presión,
a propósito,
a prueba de balas,
a prueba de fuego,
a punto de caramelo,
a punto de nieve,
a sueldo,
a sus anchas,
a tiempo completo,
a toda madre,
a todo chancho,
a todo color,
a todo dar,
a verga,
a vida o muerte,
aaleniana,['feminine']
aalenianas,"['feminine', 'plural']"
aaleniano,
aalenianos,"['masculine', 'plural']"
aaronita,
aaronitas,"['feminine', 'masculine', 'plural']"
aarónica,['feminine']
aarónicas,"['feminine', 'plural']"
aarónico,
aarónicos,"['masculine', 'plural']"
abacanada,['feminine']
abacanadas,"['feminine', 'plural']"
abacanado,
abacanados,"['masculine', 'plural']"
abacanao,
abacanaos,"['masculine', 'plural']"
abacaná,['feminine']
abacanás,"['feminine', 'plural']"
abacial,
abaciales,"['feminine', 'masculine', 'plural']"
abactinal,
abactinales,"['feminine', 'masculine', 'plural']"
abadenga,['feminine']
abadengas,"['feminine', 'plural']"
abadengo,
abadengos,"['masculine', 'plural']"
abadial,
abadiales,"['feminine', 'masculine', 'plural']"
abajera,['feminine']
abajeras,"['feminine', 'plural']"
abajero,
abajeros,"['masculine', 'plural']"
abajeña,['feminine']
abajeñas,"['feminine', 'plural']"
abajeño,
abajeños,"['masculine', 'plural']"
abajina,['feminine']
abajinas,"['feminine', 'plural']"
abajino,
abajinos,"['masculine', 'plural']"
abalaustrada,['feminine']
abalaustradas,"['feminine', 'plural']"
abalaustrado,
abalaustrados,"['masculine', 'plural']"
abalconada,['feminine']
abalconadas,"['feminine', 'plural']"
abalconado,
abalconados,"['masculine', 'plural']"
abandonada,['feminine']
abandonadas,"['feminine', 'plural']"
abandonado,
abandonados,"['masculine', 'plural']"
abandonista,
abandonistas,"['feminine', 'masculine', 'plural']"
abangareña,['feminine']
abangareñas,"['feminine', 'plural']"
abangareño,
abangareños,"['masculine', 'plural']"
abapertural,
abaperturales,"['feminine', 'masculine', 'plural']"
abarcable,
abarcables,"['feminine', 'masculine', 'plural']"
abarcador,
abarcadora,['feminine']
abarcadoras,"['feminine', 'plural']"
abarcadores,"['masculine', 'plural']"
abarcante,
abarcantes,"['feminine', 'masculine', 'plural']"
abarcativa,['feminine']
abarcativas,"['feminine', 'plural']"
abarcativo,
abarcativos,"['masculine', 'plural']"
abarrotada,['feminine']
abarrotadas,"['feminine', 'plural']"
abarrotado,
abarrotados,"['masculine', 'plural']"
abasida,
abasidas,"['feminine', 'masculine', 'plural']"
abastecedor,
abastecedora,['feminine']
abastecedoras,"['feminine', 'plural']"
abastecedores,"['masculine', 'plural']"
abasí,
abasíes,"['feminine', 'masculine', 'plural']"
abasís,"['feminine', 'masculine', 'plural']"
abatible,
abatibles,"['feminine', 'masculine', 'plural']"
abatida,['feminine']
abatidas,"['feminine', 'plural']"
abatido,
abatidos,"['masculine', 'plural']"
abaxial,
abaxiales,"['feminine', 'masculine', 'plural']"
abcísica,['feminine']
abcísicas,"['feminine', 'plural']"
abcísico,
abcísicos,"['masculine', 'plural']"
abdicador,
abdicadora,['feminine']
abdicadoras,"['feminine', 'plural']"
abdicadores,"['masculine', 'plural']"
abdicativa,['feminine']
abdicativas,"['feminine', 'plural']"
abdicativo,
abdicativos,"['masculine', 'plural']"
abdominal,
abdominales,"['feminine', 'masculine', 'plural']"
abductiva,['feminine']
abductivas,"['feminine', 'plural']"
abductivo,
abductivos,"['masculine', 'plural']"
abejuna,['feminine']
abejunas,"['feminine', 'plural']"
abejuno,
abejunos,"['masculine', 'plural']"
abeliana,['feminine']
abelianas,"['feminine', 'plural']"
abeliano,
abelianos,"['masculine', 'plural']"
aberrante,
aberrantes,"['feminine', 'masculine', 'plural']"
abertal,
abertales,"['feminine', 'masculine', 'plural']"
abertzale,
abertzales,"['feminine', 'masculine', 'plural']"
aberzale,['alternative']
aberzales,"['feminine', 'masculine', 'plural']"
abesiva,['feminine']
abesivas,"['feminine', 'plural']"
abesivo,
abesivos,"['masculine', 'plural']"
abierta,['feminine']
abierta de mente,['feminine']
abiertas,"['feminine', 'plural']"
abiertas de mente,"['feminine', 'plural']"
abierto,
abierto de mente,
abiertos,"['masculine', 'plural']"
abiertos de mente,"['masculine', 'plural']"
abigarrada,['feminine']
abigarradas,"['feminine', 'plural']"
abigarrado,
abigarrados,"['masculine', 'plural']"
abigotada,['feminine']
abigotadas,"['feminine', 'plural']"
abigotado,
abigotados,"['masculine', 'plural']"
abintestata,['feminine']
abintestatas,"['feminine', 'plural']"
abintestato,
abintestatos,"['masculine', 'plural']"
abipona,['feminine']
abiponas,"['feminine', 'plural']"
abipones,"['masculine', 'plural']"
abipón,
abisal,
abisales,"['feminine', 'masculine', 'plural']"
abisinia,['feminine']
abisinias,"['feminine', 'plural']"
abisinio,
abisinios,"['masculine', 'plural']"
abismal,
abismales,"['feminine', 'masculine', 'plural']"
abiyanesa,['feminine']
abiyanesas,"['feminine', 'plural']"
abiyaneses,"['masculine', 'plural']"
abiyanés,
abiótica,['feminine']
abióticas,"['feminine', 'plural']"
abiótico,
abióticos,"['masculine', 'plural']"
abjasa,['feminine']
abjasas,"['feminine', 'plural']"
abjasia,['feminine']
abjasias,"['feminine', 'plural']"
abjasio,
abjasios,"['masculine', 'plural']"
abjaso,
abjasos,"['masculine', 'plural']"
ablativa,['feminine']
ablativas,"['feminine', 'plural']"
ablativo,
ablativos,"['masculine', 'plural']"
ablusonada,['feminine']
ablusonadas,"['feminine', 'plural']"
ablusonado,
ablusonados,"['masculine', 'plural']"
abnegada,['feminine']
abnegadas,"['feminine', 'plural']"
abnegado,
abnegados,"['masculine', 'plural']"
abobaliconada,['feminine']
abobaliconadas,"['feminine', 'plural']"
abobaliconado,
abobaliconados,"['masculine', 'plural']"
abocada,['feminine']
abocadas,"['feminine', 'plural']"
abocado,
abocados,"['masculine', 'plural']"
abocetada,['feminine']
abocetadas,"['feminine', 'plural']"
abocetado,
abocetados,"['masculine', 'plural']"
abochornada,['feminine']
abochornadas,"['feminine', 'plural']"
abochornado,
abochornados,"['masculine', 'plural']"
abochornante,
abochornantes,"['feminine', 'masculine', 'plural']"
abodrita,
abodritas,"['feminine', 'masculine', 'plural']"
abolerada,['feminine']
aboleradas,"['feminine', 'plural']"
abolerado,
abolerados,"['masculine', 'plural']"
abolicionista,
abolicionistas,"['feminine', 'masculine', 'plural']"
abollada,['feminine']
abolladas,"['feminine', 'plural']"
abollado,
abollados,"['masculine', 'plural']"
abolsada,['feminine']
abolsadas,"['feminine', 'plural']"
abolsado,
abolsados,"['masculine', 'plural']"
abombada,['feminine']
abombadas,"['feminine', 'plural']"
abombado,
abombados,"['masculine', 'plural']"
abominable,
abominables,"['feminine', 'masculine', 'plural']"
abonera,['feminine']
aboneras,"['feminine', 'plural']"
abonero,
aboneros,"['masculine', 'plural']"
aboral,
aborales,"['feminine', 'masculine', 'plural']"
abordable,
abordables,"['feminine', 'masculine', 'plural']"
aborigen,
aborrecible,
aborrecibles,"['feminine', 'masculine', 'plural']"
aborrecida,['feminine']
aborrecidas,"['feminine', 'plural']"
aborrecido,
aborrecidos,"['masculine', 'plural']"
aborregada,['feminine']
aborregadas,"['feminine', 'plural']"
aborregado,
aborregados,"['masculine', 'plural']"
abortada,['feminine']
abortadas,"['feminine', 'plural']"
abortado,
abortados,"['masculine', 'plural']"
abortista,
abortistas,"['feminine', 'masculine', 'plural']"
abortiva,['feminine']
abortivas,"['feminine', 'plural']"
abortivo,
abortivos,"['masculine', 'plural']"
aborígenes,"['feminine', 'masculine', 'plural']"
abotagada,['feminine']
abotagadas,"['feminine', 'plural']"
abotagado,
abotagados,"['masculine', 'plural']"
abotellada,['feminine']
abotelladas,"['feminine', 'plural']"
abotellado,
abotellados,"['masculine', 'plural']"
abovedada,['feminine']
abovedadas,"['feminine', 'plural']"
abovedado,
abovedados,"['masculine', 'plural']"
abrahámica,['feminine']
abrahámicas,"['feminine', 'plural']"
abrahámico,
abrahámicos,"['masculine', 'plural']"
abrasador,
abrasadora,['feminine']
abrasadoras,"['feminine', 'plural']"
